cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ
15_42,"['14_34', '14_7']",2,0.3240356944361668,29.337266666666665,15.326323333333335
15_19,"['14_65', '14_14']",2,0.2863188714010009,29.609066666666667,15.150350000000001
15_3,"['12_86', '14_66']",2,0.2442558493825956,29.1978,15.376923333333332
15_64,"['13_89', '14_19']",2,0.21115236425370837,30.214,15.004706666666669
15_87,"['13_24', '14_66']",2,0.1961068775042742,29.069200000000006,15.391236666666666
14_34,"['13_70', '13_21']",2,0.19013245094755046,29.682066666666667,15.140469999999999
15_29,"['14_81', '14_19']",2,0.18455165847066485,29.271933333333333,15.333323333333333
15_61,"['13_72', '12_86']",3,inf,29.083133333333336,15.685866666666668
15_66,"['13_21', '11_10']",3,inf,30.467066666666668,15.054336666666666
14_19,"['12_44', '11_10']",3,0.7430417296662714,29.720499999999998,15.090946666666667
15_18,"['11_10', '14_50']",3,0.5232945421587015,30.337500000000002,15.077913333333333
15_84,"['14_41', '14_13']",3,0.4506951652386453,29.084166666666665,15.624233333333331
15_48,"['13_54', '13_24']",3,0.3815527733884106,29.093799999999998,15.406106666666668
15_1,"['14_59', '14_50']",3,0.3720836380606476,29.613966666666666,15.216996666666669
15_15,"['12_86', '14_43']",3,0.2856904974961576,29.329133333333335,15.342596666666665
15_49,"['14_43', '14_7']",3,0.27061202053121725,29.112133333333333,15.396033333333333
15_40,"['14_16', '14_73']",3,0.2649096588284341,29.502433333333332,15.314673333333333
15_68,"['14_50', '14_73']",3,0.2352582595448876,29.505066666666664,15.22762
14_43,"['12_8', '13_54']",3,0.16943816606802212,29.378933333333336,15.337359999999999
15_14,"['14_14', '14_51']",3,0.1309546589509565,30.380533333333332,15.061663333333334
15_35,"['14_34', '14_19']",4,inf,29.98636666666667,15.122483333333333
15_59,"['13_24', '12_86']",4,inf,29.166966666666667,15.649566666666667
15_45,"['14_73', '14_73']",4,0.41238919418848874,29.4378,15.349746666666668
15_38,"['12_86', '13_24']",4,0.3987383702783245,29.2136,15.615166666666667
15_89,"['14_59', '13_24']",4,0.3895854081346846,29.343766666666667,15.38603
15_81,"['14_43', '13_24']",4,0.38759306835587065,29.232200000000002,15.481360000000002
15_51,"['13_24', '14_19']",4,0.3586274403038594,29.558233333333334,15.306623333333334
15_13,"['14_51', '14_7']",4,0.32410980752330026,29.770799999999998,15.199083333333334
15_58,"['14_51', '12_86']",4,0.3170197784104394,29.26393333333333,15.44325
