cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Average Energy Change Percent
5_9,"['4_0', '4_0']",1,0.11103402010950052,40.36496666666667,16.2804,1100.7313220747906
5_56,"['2_21', '4_87']",1,0.10580973524634556,32.3945,15.892833333333334,1107.430477753011
5_65,"['4_22', '4_2']",1,0.10289785700298379,33.07646666666667,15.709866666666665,1105.9174053329584
5_38,"['2_71', '4_22']",1,0.08276107117840241,30.811233333333334,15.31261,1111.3483765415078
5_61,"['4_47', '0_1']",1,0.07346808718606979,60.1582,17.729133333333333,1098.3707300159792
5_57,"['2_21', '4_64']",1,0.07220205652047201,35.1523,15.607566666666665,1105.3254672519097
5_80,"['4_57', '4_58']",1,0.07215580130062157,33.944266666666664,15.543166666666666,1105.9121993573972
5_40,"['4_78', '2_21']",1,0.07194206756923355,33.4287,15.674466666666667,1107.4647216643343
5_3,"['4_0', '4_84']",1,0.07194205697805817,36.07723333333333,15.431066666666666,1105.2963122787335
5_8,"['0_1', '4_67']",1,0.06484648096869114,63.36996666666667,17.107933333333335,1098.3663700993318
5_14,"['4_26', '3_7']",1,0.058431719262024846,37.14693333333334,16.65823333333333,1101.4032533621753
5_5,"['0_1', '0_1']",1,0.05556278115206996,63.9061,17.64036666666667,1098.3649556049686
5_88,"['4_45', '4_0']",1,0.046036570886411214,41.07556666666667,16.5703,1100.7255551387095
5_79,"['4_26', '4_0']",1,0.038556661930537625,36.04773333333333,16.849166666666665,1101.4059167611351
5_72,"['4_61', '4_22']",1,0.033439836213584206,37.0371,16.0788,1101.4346842964942
5_59,"['2_21', '4_22']",1,0.031246449181114015,31.152266666666666,15.221166666666667,1111.3490912284524
5_67,"['4_26', '4_0']",1,0.03045973708959995,39.1843,16.7367,1099.8542518762733
5_85,"['4_19', '3_7']",1,0.02524365433197384,30.378833333333333,16.0456,1107.4329997584061
5_66,"['4_53', '0_1']",1,0.02422860243479365,63.46773333333332,16.839733333333335,1098.3666766381277
5_22,"['4_19', '3_7']",1,0.02187498104850146,32.34643333333333,16.201166666666666,1107.432034794947
5_15,"['4_26', '4_19']",1,0.012947804864476463,32.480466666666665,15.711100000000002,1105.912864668834
5_49,"['4_57', '2_21']",1,0.012296275444014893,33.087266666666665,15.692299999999998,1107.4619095789883
5_29,"['2_71', '4_0']",1,0.012256470781943026,32.372366666666665,15.922433333333332,1107.4317704921411
2_71,"['1_18', '1_18']",2,inf,31.238666666666663,15.361666666666666,1114.3551980685515
5_42,"['4_26', '4_26']",2,inf,37.50403333333333,28.6806,1101.4039015556548
5_54,"['4_71', '3_7']",2,inf,30.9996,16.2607,1110.4412327344944
5_81,"['4_76', '0_1']",2,inf,63.20263333333333,18.477633333333333,1098.366848768291
5_13,"['4_84', '4_61']",2,0.5184799520174084,35.2526,26.953466666666667,1103.774237345784
5_11,"['4_2', '3_7']",2,0.5091450744129129,38.81486666666667,22.846233333333334,1100.5876764899683
5_31,"['4_68', '2_21']",2,0.31721300073597825,31.672700000000003,15.827766666666667,1110.904526506436
5_35,"['3_7', '0_1']",2,0.2596606669754982,57.45673333333334,18.28473333333333,1098.374510521743
5_26,"['4_68', '4_67']",2,0.2557825478350241,45.578300000000006,16.924333333333333,1099.8568247539017
5_20,"['4_58', '4_76']",2,0.25458313118404363,36.771166666666666,28.357266666666664,1101.4334961284878
5_23,"['4_64', '4_76']",2,0.24127563248892314,52.27276666666666,22.25916666666667,1098.373982882218
5_32,"['3_7', '4_57']",2,0.22283723907340475,34.90253333333334,15.988633333333333,1105.8822340760998
5_4,"['2_71', '4_68']",2,0.20433306690445857,33.78426666666667,15.759266666666667,1109.763965660649
5_0,"['4_78', '4_64']",2,0.20151692124580062,48.986266666666666,17.432366666666667,1099.8556871149
5_17,"['3_7', '4_26']",2,0.1704143873313441,33.63826666666666,20.944133333333333,1104.4356796439204
5_7,"['4_64', '4_19']",2,0.17020608307316049,37.41043333333333,19.645566666666664,1103.0289500092042
5_46,"['2_71', '4_2']",2,0.16484279440174932,31.527533333333334,16.866633333333333,1107.874954219206
5_45,"['4_76', '4_53']",2,0.16225194882695207,49.613933333333335,18.869733333333333,1099.8487226295256
5_52,"['3_7', '4_61']",2,0.1615110510755653,41.04216666666667,16.818,1101.4047878163933
5_25,"['4_53', '4_64']",2,0.15820743002823254,57.3726,18.75273333333333,1099.2546141514747
5_55,"['4_57', '4_22']",2,0.15280373132098585,35.9701,15.714366666666669,1107.4314963452643
5_58,"['4_57', '0_1']",2,0.14818511314656307,55.40756666666667,19.053766666666665,1098.3895858232047
5_21,"['4_67', '4_87']",2,0.1464856190718099,40.6918,16.749,1102.8741846207283
5_27,"['0_1', '4_87']",2,0.1427160991504387,53.8323,20.663300000000003,1098.8073148847363
5_19,"['4_58', '4_45']",2,0.1301038357089487,34.8482,16.9648,1104.451970265719
5_87,"['4_79', '4_68']",2,0.12656837159566534,40.1503,20.633233333333337,1099.883253368717
5_41,"['3_7', '4_67']",2,0.10092098567649868,40.368433333333336,19.299133333333334,1099.8874101252056
5_30,"['4_57', '4_68']",2,0.09690451512478558,37.061366666666665,16.399366666666666,1104.4192942323987
5_39,"['4_68', '4_26']",2,0.08450302075437155,40.55056666666667,16.989633333333334,1101.4035414307484
5_84,"['4_68', '4_87']",2,0.07574175233705696,37.8016,17.276600000000002,1101.4189089952777
5_74,"['2_21', '4_87']",2,0.07520734403931695,31.655600000000003,22.4066,1107.4630479127818
5_1,"['4_61', '4_64']",2,0.07094488197559423,54.507066666666674,20.889366666666664,1098.3762376791565
5_2,"['4_64', '2_21']",2,0.02933486830048605,35.474,15.797633333333335,1107.4493142498648
5_64,"['4_87', '4_79']",2,0.02850825982694398,35.9681,15.942066666666667,1104.4200273674296
5_6,"['0_1', '3_7']",3,inf,59.352599999999995,19.986666666666665,1098.3756046337123
5_51,"['2_21', '4_22']",3,inf,31.796366666666668,15.922166666666664,1112.8019402870877
5_68,"['4_69', '4_68']",3,inf,32.976866666666666,30.737433333333332,1107.4656295702923
5_78,"['0_1', '4_26']",3,inf,60.86863333333334,19.573533333333334,1099.2379165209945
5_82,"['2_71', '4_2']",3,inf,31.7594,21.953233333333333,1110.4743503853617
5_60,"['4_57', '4_53']",3,1.0732871748288098,42.083499999999994,16.909533333333332,1101.4052242756327
5_76,"['3_7', '2_71']",3,0.6658484541189758,32.56686666666666,24.831566666666664,1108.3055087106509
5_10,"['4_31', '4_79']",3,0.6541029950983279,38.2757,17.37523333333333,1102.966032799537
5_63,"['4_76', '4_22']",3,0.5054664088910934,35.132000000000005,20.686666666666667,1105.3253033864366
5_48,"['3_7', '4_69']",3,0.41438557831195616,34.349666666666664,24.563366666666667,1107.4324517306597
5_69,"['2_21', '4_67']",3,0.17694168877264604,36.1872,16.029999999999998,1107.4325283811884
5_12,"['3_7', '2_71']",4,inf,32.9407,25.374633333333332,1108.8889813612889
5_47,"['4_29', '3_7']",4,inf,37.35293333333333,30.46386666666667,1107.433353280981
5_70,"['4_45', '4_53']",4,inf,46.09526666666667,17.577,1102.2913311061495
5_73,"['4_67', '0_1']",4,inf,62.865833333333335,21.081966666666663,1098.3982353245285
5_37,"['4_79', '4_31']",4,1.0542682847598643,39.01233333333334,17.700333333333333,1104.4187332739305
5_24,"['2_21', '4_53']",4,0.6192999155095101,35.38073333333333,24.6748,1107.4489212481215
5_77,"['2_71', '0_1']",5,inf,45.25063333333333,25.90863333333333,1104.4204383408896
