cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
59_42,"['57_6', '58_51']",1,1.143392097261339e-05,-4195.99,-13.0028,-9.474098999999999
59_79,"['57_12', '53_68']",1,1.1337064503528888e-05,-3973.87,-14.0834,-9.421149
59_13,"['58_13', '57_12']",1,1.097379534732531e-05,-4128.11,-13.4295,-9.176508000000002
59_2,"['58_24', '58_80']",1,1.0941381069743602e-05,-3978.09,-14.2586,-9.340239
59_62,"['56_89', '56_81']",1,1.0597716653961525e-05,-4460.54,-11.9958,-9.432548999999998
59_85,"['58_59', '58_51']",1,1.0402928024532248e-05,-4138.4,-13.1759,-9.303215
59_18,"['57_12', '58_24']",1,9.78192288255024e-06,-4047.7,-13.8856,-9.232022
59_68,"['58_18', '57_12']",1,9.153805288463424e-06,-4063.28,-14.0757,-9.171996
58_24,"['57_87', '57_88']",1,9.044991647798488e-06,-4058.56,-13.7479,-9.277164
59_16,"['58_18', '58_53']",1,8.58352017457296e-06,-4108.79,-13.4333,-9.22199
59_19,"['58_2', '58_80']",1,8.486490645977361e-06,-3985.34,-13.8711,-9.455699
59_25,"['57_12', '57_12']",1,8.10729324840817e-06,-4067.65,-14.3435,-9.104909000000001
59_83,"['58_74', '58_40']",1,8.08960397659961e-06,-4317.95,-12.9155,-9.288787
59_46,"['58_26', '58_26']",1,7.863883815161868e-06,-4327.23,-12.6066,-9.484005999999999
59_73,"['58_53', '51_1']",1,7.722085610400552e-06,-4011.15,-13.8844,-9.414967
59_50,"['58_27', '58_20']",1,7.322628168616185e-06,-4232.79,-12.9196,-9.531001
59_70,"['56_89', '58_53']",1,6.2939505334089765e-06,-4331.56,-12.3695,-9.376334
59_52,"['58_40', '58_26']",1,5.994982311491412e-06,-4322.93,-12.6119,-9.309036
