cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Average Energy Change
83_76,"['73_18', '82_24']",1,0.09175975610961841,20.971566666666664,29.628500000000003,13.16992123123123
83_22,"['82_55', '82_22']",1,0.0910746703386855,25.398066666666665,30.095033333333333,10.586752162162162
82_80,"['75_82', '73_18']",1,0.09071249257510235,19.7133,30.715000000000003,13.883111141141143
83_23,"['82_10', '82_71']",1,0.09005463875576376,44.08503333333334,24.745533333333338,8.44229687687688
83_82,"['82_18', '82_24']",1,0.0881781451230044,35.21613333333334,17.915366666666667,10.211230150150152
83_68,"['82_68', '82_71']",1,0.08813892568244833,30.844733333333334,16.6515,11.568501501501501
83_44,"['80_16', '82_86']",1,0.08719976556080825,59.6857,21.51,7.092333633633634
83_70,"['73_18', '82_28']",1,0.08572297524451991,22.018,23.020893333333333,13.008894504504505
83_48,"['82_22', '82_68']",1,0.08498945549168058,24.2523,28.752033333333333,10.980162132132135
83_6,"['82_22', '80_16']",1,0.08170592654845826,34.64556666666667,19.96366666666667,9.889033843843846
83_87,"['82_24', '82_86']",1,0.08093641424180226,44.61750000000001,18.84013333333333,8.72132291291291
82_22,"['80_51', '73_18']",1,0.08090167750851175,20.403333333333332,34.9255,13.035384414414414
83_69,"['80_16', '82_7']",1,0.08019404363219426,37.202,26.423833333333334,9.431406516516516
83_65,"['82_68', '82_5']",1,0.07685646850830583,31.635233333333332,26.912566666666667,10.035444354354354
83_14,"['82_80', '82_24']",1,0.0732763059634545,20.3844,29.78493333333333,13.564674174174177
83_38,"['82_22', '82_68']",1,0.07008209464811554,28.390600000000003,25.29816666666667,10.275015375375375
83_24,"['82_80', '82_5']",1,0.06675206378391277,21.551033333333333,33.13363333333333,12.359207987987991
83_56,"['81_70', '82_80']",1,0.06595515074481759,38.76546666666667,18.9556,9.564248288288288
83_52,"['82_80', '82_86']",1,0.06471684795432948,38.0525,26.17883333333333,9.741402372372372
83_28,"['80_36', '82_10']",1,0.06412668723882002,59.15923333333333,16.81073333333333,7.396763903903904
83_81,"['82_50', '82_89']",1,0.06213069987516022,25.565633333333334,17.329133333333335,12.025212612612615
83_66,"['80_16', '80_16']",1,0.06136697888297782,60.408899999999996,20.873533333333334,7.062307837837839
83_71,"['82_28', '82_7']",1,0.06061618637328548,22.8981,26.613,11.757028738738738
83_34,"['82_24', '82_22']",1,0.056486044170051854,22.522266666666667,25.7295,11.822589189189188
83_61,"['80_16', '82_6']",1,0.05505261608531825,44.732933333333335,20.18726666666667,8.526950480480481
83_49,"['82_71', '82_89']",1,0.054839983856866864,23.197433333333333,16.5055,12.239687657657656
83_72,"['82_5', '82_24']",1,0.05419220429092067,23.507966666666665,26.818766666666665,11.381230240240237
83_75,"['82_71', '82_89']",1,0.053569027911597566,24.060299999999998,17.5864,11.262033483483483
83_3,"['82_66', '80_16']",1,0.05313897320753498,44.68066666666667,24.965,8.303235495495494
83_2,"['82_44', '82_29']",1,0.0519462908415626,28.3719,21.74846666666667,11.2016303003003
83_85,"['82_66', '82_80']",1,0.05094456165981695,21.826733333333337,30.559633333333334,12.117944684684685
83_40,"['80_36', '80_36']",1,0.049968496643910364,64.72373333333333,16.921233333333333,6.889195675675675
83_86,"['82_66', '82_22']",1,0.04537629081230683,20.767,34.44716666666667,12.86953015015015
83_64,"['73_18', '82_66']",1,0.0441072101939842,20.525499999999997,32.77333333333333,13.077513843843844
83_39,"['82_24', '73_18']",1,0.04408650728979819,23.350166666666667,20.5904,11.865580180180181
83_59,"['82_7', '82_71']",1,0.04407773897091917,21.858066666666662,14.033966666666666,13.915598498498497
82_6,"['81_30', '81_65']",1,0.04199375166738176,31.029066666666665,28.730266666666665,9.73202075075075
83_60,"['82_31', '82_29']",1,0.04192314658287971,22.253933333333332,20.8501,12.376607507507508
83_10,"['82_7', '82_68']",1,0.0384844118800803,22.27456666666667,15.9641,12.563185165165166
83_63,"['82_71', '82_89']",1,0.03799556882412784,23.62006666666667,15.915366666666666,12.988223213213216
83_8,"['82_66', '73_18']",1,0.037163569299251784,21.1953,34.198100000000004,13.077274894894897
83_37,"['75_82', '82_5']",1,0.032325872657553475,21.74106666666667,28.985466666666667,12.785794084084083
83_13,"['82_5', '82_45']",1,0.031437562638977734,20.291866666666664,34.689099999999996,13.16610732732733
83_36,"['82_80', '82_80']",1,0.028801423504134904,19.940266666666663,30.69666666666667,13.60939984984985
