cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Average Adjusted cost of energy per GJ,Year Zero Emissions Reached,Average Percent Energy Change
7_67,"['6_172', '6_0']",1,0.03727992730216237,-7.45842,62.49000000000001,2044.0,0.023270134556580686
7_106,"['0_4', '5_32']",1,0.035285266290116135,19.9881,26.854305263157897,2100.0,0.014563350532432427
7_107,"['6_103', '5_69']",1,0.03384841560061808,-4.1044,33.16912105263158,2065.0,0.019310451977261108
7_81,"['6_23', '6_104']",1,0.03330112388490368,17.7616,24.759675,2100.0,0.014871298744359784
7_27,"['6_141', '6_49']",1,0.03299172507079299,15.1125,24.899815789473685,2100.0,0.01515533475253272
7_24,"['6_158', '5_34']",1,0.03227010978471238,-1.20231,25.141500000000004,2076.0,0.019304085702073686
7_135,"['5_105', '6_82']",1,0.032146700660044186,2.59279,26.550003947368424,2100.0,0.016245087986034173
7_20,"['6_95', '6_92']",1,0.03155282328860268,-6.008,56.44050657894736,2066.0,0.01919015146598531
7_1,"['6_92', '6_82']",1,0.03152392131469863,-7.3331,56.26746842105263,2053.0,0.021094890485501054
7_71,"['6_176', '6_40']",1,0.02912363407361474,-6.78665,62.88651842105262,2052.0,0.021124437985810922
7_26,"['0_2', '6_126']",1,0.028134285800543304,22.8721,24.201169736842107,2100.0,0.014857792654643013
6_99,"['5_74', '0_3']",1,0.02698866866871181,-9.49373,83.23676842105264,2039.0,0.02496131102594301
7_83,"['6_104', '0_2']",1,0.026233041018031283,20.0483,23.847488157894734,2100.0,0.014998422626273962
7_147,"['6_23', '6_95']",1,0.024130592363455904,14.7048,24.35530526315789,2100.0,0.015218973130350243
7_96,"['6_57', '6_141']",1,0.021689223454851834,14.7723,25.03834868421053,2100.0,0.014749765467241466
7_140,"['6_176', '6_126']",1,0.020925983085894675,-5.69163,55.01948684210526,2066.0,0.018960800170132557
7_166,"['6_131', '6_57']",1,0.0196373372100207,4.25273,24.449268421052626,2100.0,0.016180983480656583
7_69,"['0_2', '5_32']",1,0.016380229289886833,23.3455,25.33306052631579,2100.0,0.01433876683949241
7_110,"['6_2', '6_103']",1,0.015790804695589456,-1.88819,25.2332,2078.0,0.018316625902790977
7_88,"['0_3', '3_98']",1,0.0007978675793466201,-9.56982,84.18885657894737,2038.0,0.025215610669468386
7_29,"['4_36', '0_3']",1,0.00022756155237867867,-9.56981,84.18653026315788,2038.0,0.025214581141314602
3_98,"['0_3', '0_3']",1,0.0,-9.57108,84.18943289473684,2038.0,0.025214430924847563
7_44,"['6_57', '0_4']",2,inf,22.5637,29.699746052631582,2100.0,0.014708005618788525
7_58,"['6_123', '5_151']",2,inf,69.9777,21.19050657894737,2100.0,0.010047420473869174
7_160,"['6_172', '3_98']",2,inf,-8.86207,82.01863421052633,2040.0,0.02474477890217284
7_168,"['0_2', '6_5']",2,inf,62.8215,21.990442105263156,2100.0,0.009932861668966435
7_89,"['5_32', '0_4']",2,0.7011219930946214,33.9055,26.353265789473685,2100.0,0.013647883436712575
7_109,"['6_131', '6_123']",2,0.6403732879459101,58.3347,23.607910526315788,2100.0,0.010183694131242184
7_102,"['6_172', '6_82']",2,0.5390238545862334,-6.53308,58.793265789473686,2052.0,0.02167447854351336
7_78,"['6_49', '5_69']",2,0.3209653475801551,-0.94153,38.74528157894737,2090.0,0.01698060706118109
7_131,"['6_126', '5_69']",2,0.30126502429674673,-3.06818,41.51560657894737,2086.0,0.017358840003489303
7_157,"['6_36', '6_68']",2,0.2929476705288884,-0.783819,46.541540789473686,2065.0,0.01973225359370397
7_95,"['5_32', '6_95']",2,0.29272202901008026,-5.08962,44.74575789473684,2080.0,0.018019550090736067
7_50,"['3_98', '6_49']",2,0.2843467789466846,-7.64438,64.80138157894736,2045.0,0.02349731720552137
7_72,"['6_84', '5_10']",2,0.2807669422891909,-1.33096,27.510602631578948,2063.0,0.021555783328667474
7_55,"['5_74', '6_92']",2,0.2426633739970648,-7.96723,70.29010131578946,2045.0,0.022708896740907293
